tierIndex,unitCostInEth,quantityBeforeNextTier
1,133000000000000000,3000
2,152950000000000000,2841
3,175892500000000000,2690
4,202276375000000000,2547
5,232617831000000000,2412
6,267510506000000000,2284
7,307637082000000000,2163
8,353782644000000000,2048
9,406850041000000000,1939
10,467877547000000000,1836
11,538059179000000000,1738
12,618768056000000000,1645
13,711583264000000000,1557
14,818320754000000000,1474
15,941068867000000000,1395
16,1082229197000000000,1321
17,1244563576000000000,1251
18,1431248113000000000,1184
19,1645935329000000000,1121
20,1892825629000000000,1061
21,2176749473000000000,1004
22,2503261894000000000,950
23,2878751178000000000,899
24,3310563855000000000,851
25,3807148433000000000,805
26,4378220698000000000,762
27,5034953803000000000,721
28,5790196874000000000,682
29,6658726405000000000,645
30,7657535365000000000,610
31,8806165670000000000,577
32,10127090521000000000,546
33,11646154099000000000,517
34,13393077214000000000,489
35,15402038796000000000,463
36,17712344615000000000,438
37,20369196307000000000,414
38,23424575754000000000,392
39,26938262117000000000,371
40,30979001434000000000,357